number_nodes,PERCENT,IMP2D,2D,LINE,FULL,Data for begin_kill,Gossip
100,10,93,34,39,87,,
100,20,64,29,32,77,,
100,50,74,19,15,57,,
100,80,40,2,6,45,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
number_nodes,PERCENT,IMP2D,2D,LINE,FULL,Data for begin_kill,Gossip
500,10,2792,554,1030,2388,,
500,20,2044,655,711,2460,,
500,50,2770,262,488,1857,,
500,80,477,79,128,1316,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
number_nodes,PERCENT,IMP2D,2D,LINE,FULL,Data for begin_kill,Gossip
1000,10,22872,4616,4662,10603,,
1000,20,1769,4874,1657,10017,,
1000,50,8453,2667,2016,8779,,
1000,80,1998,1708,488,6514,,
